0,415528684872525;
1,19796606779764;
1,034603912879;
0,0286453139090753;
-0,261617466067346;
0,404116739803331;
1,22797915685723;
1,01720129109029;
0,0266741411572889;
-0,254829078762539;
-1,04263617096487;
-3,4771298213671;
-4,7560902057138;
-4,5167296007601;
-5,75234817534389;
-8,01615246422895;
-9,67316192343168;
-11,0225930171369;
-11,9811984056193;
-12,223761621561;
-12,3463522691788;
-12,519185863954;
-11,8169698598446;
-10,3372000591625;
-9,74112782936976;
-10,5803107874976;
-11,5263580726417;
-11,4615716111897;
-10,4293606521302;
-8,76858708587949;
-6,87318729491728;
-5,44652735389415;
-4,62262462066644;
-3,9837087414587;
-3,40626601095971;
-2,69118071507476;
-1,3429467047639;
0,716231391034189;
2,48813549759358;
3,32588784385763;
4,9035850917277;
8,07364182058575;
9,79255144119499;
8,60736540324687;
7,38637653985222;
7,69455756826973;
8,56686367990106;
9,08605895204227;
8,7225491697171;
7,61559237024652;
6,41261633962975;
5,45192135156123;
4,88064443704779;
4,74049963713844;
4,92826222261433;
5,69325857315735;
7,26206647803869;
9,22812935716341;
11,0265442344046;
12,2620041308627;
9,48979122779462;
1,57242525353701;
-2,34677285697951;
0,157174767580358;
0,810587555601645;
2,07949416253404;
8,36930976295672;
11,658350495112;
9,74629973131673;
9,4457881899666;
10,2856538914469;
9,37466703126825;
8,11267303424031;
7,14933118911274;
5,86621941326993;
4,27925171306155;
2,60155011126076;
0,914610399312677;
-0,590089508909448;
-1,72446050187632;
-2,3766395618253;
-2,54841850085993;
-2,44746739505036;
-2,3162034714371;
-2,28375125521578;
-2,56150988134025;
-3,36901632313697;
-4,52035340750239;
-5,57534253342238;
-6,32488477663462;
-6,78002219875881;
-6,95326875676456;
-6,84451518057069;
-6,5165306433625;
-6,10883914943166;
-5,73985230143781;
-5,43172825835884;
-5,18444326749639;
-5,07608694392734;
-5,17403525029;
-3,97357570813361;
-0,685493619212323;
0,986941800715063;
-0,0568691410959088;
-0,344860700106036;
-1,23991013467619;
-4,76914372102549;
-6,53295813314285;
-5,16370235152083;
-4,4292815243956;
-2,91260531235353;
1,38017584347937;
3,58221412810408;
2,25764430390363;
1,54599017201868;
1,40357767083235;
0,241419384255021;
-1,02030045097017;
-2,00485598862964;
-3,00491543250007;
-3,7780160535636;
-4,18546680365237;
-4,37155513067384;
-4,34670241528819;
-4,14201019410528;
-2,9174564767808;
-0,422888406168535;
0,704230214944223;
-0,0638966288680124;
-0,236344011766486;
0,123731896942948;
0,0318609816982243;
